TSLA;Tesla, Inc.;"Компания Tesla, Inc. проектирует, разрабатывает, производит, сдает в аренду и продает электромобили, а также системы выработки и хранения энергии в Соединенных Штатах, Китае и за рубежом. Компания работает в двух сегментах: автомобилестроении и производстве и хранении энергии. Автомобильный сегмент предлагает электромобили, а также продает автомобильные нормативные сертификаты; и негарантийные автомобили после продажи, подержанные автомобили, розничные товары и услуги по страхованию транспортных средств. Этот сегмент также предлагает седаны и внедорожники общего назначения через прямые продажи подержанных автомобилей, сеть нагнетателей Tesla и обновления в приложении; услуги по финансированию покупок и лизингу; услуги для электромобилей через принадлежащие компании сервисные центры и специалистов Tesla mobile service; а также ограниченные гарантии на автомобили и расширенные планы обслуживания. Сегмент производства и хранения энергии занимается проектированием, производством, установкой, продажей и арендой продуктов для производства и хранения солнечной энергии и сопутствующих услуг бытовым, коммерческим и промышленным потребителям и коммунальным службам через свой веб-сайт, магазины и галереи, а также через сеть партнеров по каналам сбыта; и предоставляет сервисное обслуживание и ремонт своим потребителям энергетических продуктов, в том числе по гарантии, а также различные варианты финансирования своим потребителям солнечной энергии. Ранее компания была известна как Tesla Motors, Inc. и сменила свое название на Tesla, Inc. в феврале 2017 года. Tesla, Inc. была зарегистрирована в 2003 году со штаб-квартирой в Остине, штат Техас."
AMD;Advanced Micro Devices, Inc.;"Advanced Micro Devices, Inc. работает как полупроводниковая компания по всему миру. Она работает в четырех сегментах: центры обработки данных, клиентский, игровой и встраиваемый сегменты. Компания предлагает микропроцессоры x86 и графические процессоры (GPU) в качестве ускоренного процессора, наборы микросхем, центры обработки данных и профессиональные графические процессоры; а также встраиваемые процессоры и продукты типа ""система на кристалле"" (SoC), услуги и технологии по разработке микропроцессоров и SoC, модули обработки данных, программируемые вентильные матрицы (FPGA) и адаптивные продукты SoC. Он также поставляет процессоры под торговыми марками AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO и AMD PRO серии A; графику под торговыми марками AMD Radeon graphics и AMD Embedded Radeon graphics; и профессиональную графику под торговыми марками AMD Radeon Pro graphics. Кроме того, компания предлагает графику для центров обработки данных под брендами Radeon Instinct и Radeon PRO V-series, а также серверы под брендом AMD Instinct accelerators; серверные микропроцессоры под брендами AMD EPYC; решения для встраиваемых процессоров под брендами AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series и G-Series; продукты FPGA под брендами Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6 и Spartan-7; адаптивные SOC под брендами Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, бренды Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis и Vivado; а также продукты для платы ускорения вычислений и сетей под брендом Alveo. Он обслуживает производителей оригинального оборудования и дизайна, поставщиков общедоступных облачных услуг, системных интеграторов, независимых дистрибьюторов, онлайн- и обычных розничных продавцов, а также производителей надстроек через своих сотрудников прямых продаж, независимых дистрибьюторов и торговых представителей. Компания была зарегистрирована в 1969 году со штаб-квартирой в Санта-Кларе, Калифорни"
NVDA;NVIDIA Corporation;"Корпорация NVIDIA поставляет графические, вычислительные и сетевые решения в США, Тайване, Китае и за рубежом. Графический сегмент компании предлагает графические процессоры GeForce для игр и персональных компьютеров, сервис потоковой передачи игр GeForce NOW и связанную с ним инфраструктуру, а также решения для игровых платформ; графические процессоры Quadro / NVIDIA RTX для графики корпоративных рабочих станций; программное обеспечение vGPU для облачных визуальных и виртуальных вычислений; автомобильные платформы для информационно-развлекательных систем; и программное обеспечение Omniverse для создания 3D-проектов и виртуальных миров. Сегмент Compute & Networking предлагает платформы и системы для центров обработки данных для искусственного интеллекта, HPC и ускоренных вычислений; сетевые решения и межсоединения Mellanox; автомобильные кабины с искусственным интеллектом, соглашения о разработке автономного вождения и решения для автономных транспортных средств; процессоры для майнинга криптовалют; Jetson для робототехники и другие встроенные платформы; и NVIDIA AI Enterprise и другое программное обеспечение. Продукты компании используются на рынках игр, профессиональной визуализации, центров обработки данных и автомобилестроения. Корпорация NVIDIA продает свои продукты производителям оригинального оборудования, изготовителям оригинальных устройств, разработчикам систем, производителям плат надстроек, розничным торговцам / дистрибьюторам, независимым поставщикам программного обеспечения, интернет-провайдерам и поставщикам облачных услуг, производителям автомобилей и поставщикам автомобилей первого уровня, картографическим компаниям, стартапам и другим участникам экосистемы. Компания поддерживает стратегическое сотрудничество с Kroger Co. Корпорация NVIDIA была основана в 1993 году со штаб-квартирой в Санта-Кларе, Калифорния."
AAPL;Apple Inc.;"Корпорация Apple разрабатывает, производит и продает смартфоны, персональные компьютеры, планшеты, носимые устройства и аксессуары по всему миру. Компания предлагает линейку смартфонов iPhone; линейку персональных компьютеров Mac; линейку многофункциональных планшетов iPad; а также носимые устройства для дома и аксессуары, включая AirPods, Apple TV, Apple Watch, продукты Beats и HomePod. Он также предоставляет поддержку AppleCare и облачные сервисы; и управляет различными платформами, включая App Store, которые позволяют клиентам находить и загружать приложения и цифровой контент, такой как книги, музыка, видео, игры и подкасты. Кроме того, компания предлагает различные услуги, такие как Apple Arcade, услуга подписки на игры; Apple Fitness +, персонализированный фитнес-сервис; Apple Music, которая предлагает пользователям возможность прослушивания радиостанций по запросу; Apple News +, сервис новостей и журналов по подписке; Apple TV +, который предлагает эксклюзивный оригинальный контент; Apple Card, кобрендовую кредитную карту; и Apple Pay, сервис безналичных платежей, а также лицензирует свою интеллектуальную собственность. Компания обслуживает потребителей, малый и средний бизнес, а также рынки образования, предпринимательства и государственных органов. Компания распространяет сторонние приложения для своих продуктов через App Store. Компания также продает свою продукцию через свои розничные и интернет-магазины, отдел прямых продаж, а также сторонних операторов сотовой связи, оптовиков, розничных торговцев и реселлеров. Компания Apple Inc. была основана в 1976 году со штаб-квартирой в Купертино, Калифорния."
INTC;Intel Corporation;"Корпорация Intel проектирует, разрабатывает, производит, продает компьютеры и сопутствующие товары по всему миру. Он работает через Client Computing Group, Центры обработки данных и искусственный интеллект, Сеть и Edge, Mobileye, Ускоренные вычислительные системы и графику, Intel Foundry Services и другие сегменты. Компания предлагает платформенные продукты, такие как центральные процессоры и наборы микросхем, а также пакеты ""система на кристалле"" и ""мультичип""; а также ускорители, платы и системы, средства подключения, память и средства хранения данных. Он также предоставляет высокопроизводительные компьютерные решения для целевых вертикалей и встроенные приложения для рынков розничной торговли, промышленности и здравоохранения; и решения для вспомогательного и автономного вождения, включающие вычислительные платформы, компьютерное зрение и зондирование на основе машинного обучения, картографирование и локализацию, правила вождения и активные датчики. Кроме того, компания предлагает платформы, оптимизированные для рабочей нагрузки, и сопутствующие продукты для поставщиков облачных услуг, предприятий и органов государственной власти, а также поставщиков услуг связи. Он обслуживает производителей оригинального оборудования, производителей оригинального дизайна, поставщиков облачных услуг и других производителей оборудования. Компания поддерживает стратегическое партнерство с Synopsys, Inc. для разработки решений EDA и IP, а также сотрудничество с Red Hat для. внедрение промышленной автоматизации с открытым исходным кодом в производственные цеха. Компания Была зарегистрирована в 1968 году со штаб-квартирой в Санта-Кларе, Калифорния."
LTHM;Arcadium Lithium plc;"Корпорация Livent производит и продает высокоэффективные соединения лития, которые в основном используются в литиевых батареях, специальных полимерах и в химическом синтезе в Северной Америке, Латинской Америке, Европе, на Ближнем Востоке, в Африке и Азиатско-Тихоокеанском регионе. Компания предлагает соединения лития для использования в приложениях с особыми требованиями к производительности, в том числе гидроксид лития аккумуляторного качества для использования в высокопроизводительных литий-ионных аккумуляторах; и бутиллитий, который используется в производстве полимеров и фармацевтической продукции, а также ряд специальных соединений лития, включая металлический литий высокой чистоты, который используется в неперезаряжаемых батареях и производстве легких материалов для аэрокосмического применения. Он также обеспечивает фосфат лития, карбонат лития фармацевтического качества, хлорид лития высокой чистоты и специальную органику; а также карбонат лития и хлорид лития для использования в качестве сырья в процессе производства высокоэффективных соединений лития. Компания была основана в 1940 году со штаб-квартирой в Филадельфии, штат Пенсильвания."
VZ;Verizon Communications Inc.;"Verizon Communications Inc. через свои дочерние компании предоставляет продукты и услуги связи, технологий, информации и развлечений потребителям, предприятиям и государственным структурам по всему миру. Она работает в двух сегментах: Verizon Consumer Group (Потребитель) и Verizon Business Group (Бизнес). Потребительский сегмент предоставляет услуги беспроводной связи через беспроводные сети в Соединенных Штатах под брендами Verizon и TracFone, а также по оптовым и другим соглашениям; и широкополосный фиксированный беспроводной доступ (FWA) через свои беспроводные сети. Компания также предлагает услуги проводной связи в Среднеатлантическом регионе и на северо-востоке США, а также в Вашингтоне, округ Колумбия, через свою волоконно-оптическую сеть, линейку продуктов Verizon Fios и сеть на основе меди. Бизнес-сегмент предоставляет услуги и продукты беспроводной связи, включая передачу данных, видео, конференц-связь, корпоративные сети, безопасность и управляемые сети, местную и междугороднюю голосовую связь, доступ к сети и различные услуги и продукты Интернета вещей, а также широкополосную связь FWA через свои беспроводные сети. Компания, ранее известная как Bell Atlantic Corporation, сменила название на Verizon Communications Inc. в июне 2000 года. Verizon Communications Inc. была зарегистрирована в 1983 году со штаб-квартирой в Нью-Йорке, штат Нью-Йорк."
SMCI;Super Micro Computer, Inc.;"Компания Super Micro Computer, Inc. совместно со своими дочерними компаниями разрабатывает и производит высокопроизводительные серверные решения и системы хранения данных на основе модульной и открытой архитектуры в США, Европе, Азии и за рубежом. Ее решения включают в себя комплексные серверы, системы хранения данных, модульные блейд-серверы, блейды, рабочие станции, полноценные стойки, сетевые устройства, серверные подсистемы, программное обеспечение для управления серверами и программное обеспечение безопасности. Компания предоставляет серверные решения, оптимизированные для приложений, стоечные и блейд-серверы, хранилища, а также подсистемы и аксессуары; и решения для управления серверным программным обеспечением, такие как Server Management Suite, включая Supermicro Server Manager, Supermicro Power Management software, Supermicro Update Manager, SuperCloud Composer и SuperDoctor 5. Кроме того, компания предлагает серверные подсистемы и аксессуары, включая серверные платы, шасси, блоки питания и другие аксессуары. Кроме того, компания предоставляет услуги по интеграции серверов и систем хранения данных, настройке и обновлению программного обеспечения.; и услуги по технической документации, а также определяет требования к обслуживанию, создает и выполняет планы проектов, проводит проверочные испытания и техническую документацию, а также услуги по обучению. Кроме того, компания предлагает службу поддержки и услуги по поддержке продуктов на месте для своих серверов и систем хранения данных, а также услуги поддержки клиентов, включая текущее обслуживание и техническую поддержку своих продуктов. Компания поставляет свои продукты для корпоративных центров обработки данных, облачных вычислений, искусственного интеллекта, а также рынков 5G и периферийных вычислений. Она продает свою продукцию через прямых и непрямых продавцов, дистрибьюторов, реселлеров с добавленной стоимостью, системных интеграторов и производителей оригинального оборудования. Компания была зарегистрирована в 1993 году со штаб-квартирой в Сан-Хосе, Калифорния."
MSTR;MicroStrategy Incorporated ;"MicroStrategy Incorporated предоставляет программное обеспечение и услуги для корпоративной аналитики в Соединенных Штатах, Канаде, Европе, на Ближнем Востоке, в Африке и за рубежом. Он предлагает MicroStrategy, программную платформу корпоративной аналитики, которая позволяет пользователям создавать визуализации, настраивать приложения и встраивать аналитику непосредственно в рабочие процессы; и MicroStrategy Cloud Environment, управляемое решение ""программное обеспечение как услуга"", которое обеспечивает постоянный мониторинг угроз и позволяет быстро разрабатывать и внедрять аналитику для обеспечения требований безопасности и конфиденциальности данных. Компания также предоставляет поддержку MicroStrategy, которая помогает заказчикам достичь поставленных целей по обеспечению доступности системы и времени безотказной работы, а также улучшить общее взаимодействие за счет быстрого устранения неполадок и упреждающей технической поддержки продукта. Кроме того, он предлагает MicroStrategy Consulting, который предлагает клиентам услуги по архитектуре и внедрению, чтобы помочь им быстро реализовать результаты, а также помогает достичь отдачи от инвестиций, полученных на основе понимания данных; и MicroStrategy Education, которая предоставляет бесплатные и платные варианты обучения, а также хранит и приобретает биткойны. Компания предлагает свои услуги через отдел продаж предприятия и партнеров по каналам сбыта. Она обслуживает компании из целого ряда отраслей, включая банковское дело, технологии, консалтинг, производство, страхование, здравоохранение и телекоммуникации, а также государственный сектор. Компания была зарегистрирована в 1989 году со штаб-квартирой в Тайсонс-Корнер, штат Вирджиния."
IBM;International Business Machines Corporation;"International Business Machines Corporation вместе со своими дочерними компаниями предоставляет комплексные решения и услуги по всему миру. Компания работает в четырех бизнес-сегментах: программное обеспечение, Консалтинг, Инфраструктура и финансирование. Сегмент программного обеспечения предлагает гибридные облачные платформы и программные решения; программное обеспечение для автоматизации бизнеса, операций искусственного интеллекта и управления ими, интеграции и серверов приложений; решения для обработки данных и искусственного интеллекта; а также программное обеспечение и сервисы безопасности для угроз, данных и идентификации. Этот сегмент также предоставляет программное обеспечение для обработки транзакций, которое поддерживает критически важные и локальные рабочие нагрузки клиентов в банковской сфере, авиакомпаниях и розничной торговле. Сегмент консалтинга предлагает услуги по преобразованию бизнеса, включая стратегию, проектирование и эксплуатацию бизнес-процессов, данные и аналитику, а также услуги системной интеграции; услуги технологического консалтинга; а также услуги приложений и облачных платформ. Сегмент инфраструктуры предоставляет локальные и облачные серверные решения и решения для хранения данных для критически важных и регулируемых рабочих нагрузок своих клиентов; а также услуги поддержки и решения для инфраструктуры гибридного облака, а также услуги по восстановлению и ремаркетингу подержанного оборудования. Сегмент финансирования предлагает услуги по аренде, рассрочке платежа, кредитованию и краткосрочному финансированию оборотных средств. Компания заключила соглашение о сотрудничестве с Siemens Digital Industrial Software для разработки комбинированного программного решения. Ранее компания была известна как Computing-Tabulating-Recording Co. International Business Machines Corporation была зарегистрирована в 1911 году со штаб-квартирой в Армонке, штат Нью-Йорк."
